Sindhi	Urdu_1	Urdu_2	Urdu_3
آ	آ		
أ	أ		
ؤ	ؤ		
إ	إ		
اُ	اُ		
اَ	اَ		
اِ	اِ		
ئ	ئ		
ا	ا		
ب	ب		
ت	ت		
ث	ث		
ج	ج		
ح	ح		
خ	خ		
د	د		
ذ	ذ		
ر	ر		
ز	ز		
س	س		
ش	ش		
ص	ص		
ض	ض		
ط	ط		
ظ	ظ		
ع	ع		
غ	غ		
ف	ف		
ق	ق		
ل	ل		
م	م		
ن	ن		
ه	ہ		
و	و		
ی	ی		
ک	ک		
پ	پ		
چ	چ		
گ	گ		
ٺ	ت		
ٻ	ب	پ	
ٽ	ت		
ٿ	ٹ		
ڀ	ڈ		
ھ	ھ		
ڃ	ە		
ڄ	ج		
ڇ	چ		
ڊ	د		
ڌ	ذ		
ڍ	د		
ڏ	ذ		
ڙ	ژ	ڑ	
ڦ	ف		
ي	ی	ي	ے
ڪ	ک		
ڱ	گ		
ڳ	گ		
ڻ	ں		
۽	ء		
۾	م		
0	0	۰
1	1	۱
2	2	۲
3	3	۳
4	4	۴	٤
5	5	۵	٥
6	6	۶	٦
7	7	۷
8	8	۸
9	9	۹
